Experiment start
robot 1 0.3391406663995888
robot 1 0.3405059368428324
robot 1 0.3418032983686659
robot 1 0.3440081668763558
robot 1 0.34521235753923946
robot 1 0.3489758977501284
robot 1 0.34914646434889257
robot 1 0.3522160606257993
robot 1 0.3551275760926064
robot 1 0.35819491202292
robot 1 0.36052903879717074
robot 1 0.3628594392718922
robot 1 0.3651810089865898
robot 1 0.367221619063977
robot 1 0.3691613523837677
robot 1 0.37137583587071454
robot 1 0.3733982999340097
robot 1 0.37373298653799114
robot 1 0.37401401507912707
robot 1 0.37394215134919107
robot 1 0.373521238301005
robot 1 0.37292715621765454
robot 1 0.3718487810411666
robot 1 0.37046267659614757
robot 1 0.36838980539823224
robot 1 0.3670210268815404
robot 1 0.36526512015840856
robot 1 0.36172032160771334
robot 1 0.3595463930665886
robot 1 0.3569464730057009
robot 1 0.35499198440041946
robot 1 0.3522365187450434
robot 1 0.3496571501558706
robot 1 0.34685423464790277
robot 1 0.3451618513978815
robot 1 0.3439194651380632
robot 1 0.3428819735980552
robot 1 0.34086612873940975
robot 1 0.33996324056559574
robot 1 0.3388344330289346
